,Course,SectionID,Name,TNUM,GR,School,Type,Year,GlimpsestudentId,DistrictID,ScantronMathPostTest,ScantronReadingPostTest
241,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45248.0,18,2815.0,3101.0
242,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45263.0,18,2926.0,3263.0
243,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45262.0,18,3085.0,3278.0
244,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45139.0,18,2542.0,2854.0
245,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51168.0,18,2553.0,2474.0
246,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51169.0,18,2533.0,2643.0
247,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45134.0,18,2641.0,2805.0
248,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45272.0,18,2916.0,3176.0
249,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45286.0,18,2750.0,3013.0
250,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51159.0,18,2926.0,3156.0
251,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45287.0,18,2754.0,3038.0
252,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45273.0,18,3099.0,3120.0
253,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45264.0,18,2633.0,2978.0
254,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,57948.0,18,2256.0,2293.0
255,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45281.0,18,2567.0,2579.0
256,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45301.0,18,3018.0,3230.0
257,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45133.0,18,2546.0,1990.0
258,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50616.0,18,2615.0,2893.0
259,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45298.0,18,2761.0,3004.0
260,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45317.0,18,2566.0,2881.0
261,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45258.0,18,2760.0,3023.0
262,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45136.0,18,2684.0,2897.0
263,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45241.0,18,2780.0,2851.0
264,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45291.0,18,2934.0,2979.0
265,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45175.0,18,2507.0,2649.0
266,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45250.0,18,2655.0,2807.0
267,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45276.0,18,2838.0,3008.0
268,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51026.0,18,2887.0,3235.0
269,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50892.0,18,2140.0,2474.0
270,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45294.0,18,2789.0,3317.0
271,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,96296.0,18,2733.0,2994.0
272,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,67935.0,18,2759.0,3099.0
273,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,67934.0,18,2617.0,2620.0
274,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45312.0,18,3071.0,3283.0
275,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45259.0,18,2848.0,2968.0
276,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45227.0,18,2628.0,2766.0
277,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45266.0,18,2662.0,2739.0
280,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51239.0,18,2616.0,2768.0
281,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45244.0,18,2828.0,3064.0
282,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45332.0,18,2655.0,2798.0
283,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45144.0,18,2709.0,2724.0
285,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50191.0,18,2726.0,2767.0
286,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,96294.0,18,2684.0,2980.0
287,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45246.0,18,2714.0,2738.0
288,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45245.0,18,2777.0,3026.0
